SampleID,Layer,Component,Quantity,,,,,,,,,
TOYOTA 1B2 (S3),1,BC 4017,20.1,,,,,,,,,
TOYOTA 1B2 (S3),1,BC 4202,7.2,,,,,,,,,
TOYOTA 1B2 (S3),1,BC 4014,7,,,,,,,,,
TOYOTA 1B2 (S3),1,BC 4510,3.3,,,,,,,,,
TOYOTA 1B2 (S3),1,BC 4060,2.3,,,,,,,,,
TOYOTA 1B2 (S3),1,BC 4010,0.6,,,,,,,,,
TOYOTA 1B2 (S3),1,BC 4110,4.4,,,,,,,,,
CHRYSLER PQD (S1),1,BC 4002,6.1,,,,,,,,,
CHRYSLER PQD (S1),1,BC 4117,20.9,,,,,,,,,
CHRYSLER PQD (S1),1,BC 4517,19.6,,,,,,,,,
CHRYSLER PQD (S1),1,BC 4640,19.2,,,,,,,,,
CHRYSLER PQD (S1),1,BC 4440,11.5,,,,,,,,,
CHRYSLER PQD (S1),1,BC 4954,10.9,,,,,,,,,
CHRYSLER PQD (S1),1,BC 4519,1.7,,,,,,,,,
CHRYSLER PQD (S1),1,BC 4030,1.7,,,,,,,,,
CHRYSLER PQD (S1),1,BC 4110,8.4,,,,,,,,,
KIA G7A (S1),1,BC 4002,7.5,,,,,,,,,
KIA G7A (S1),1,XB 4107,37.5,,,,,,,,,
KIA G7A (S1),1,BC 4084,22.5,,,,,,,,,
KIA G7A (S1),1,BC 4966,13.5,,,,,,,,,
KIA G7A (S1),1,BC 4010,11.2,,,,,,,,,
KIA G7A (S1),1,BC 4082,4.3,,,,,,,,,
KIA G7A (S1),1,BC 4519,1.7,,,,,,,,,
KIA G7A (S1),1,BC 4202,1.1,,,,,,,,,
KIA G7A (S1),1,BC 4018,0.7,,,,,,,,,
KIA DYS (S1),1,BC 4002,3.8,,,,,,,,,
KIA DYS (S1),1,BC 4019,54.1,,,,,,,,,
KIA DYS (S1),1,BC 4561,39.5,,,,,,,,,
KIA DYS (S1),1,BC 4082,1.7,,,,,,,,,
KIA DYS (S1),1,BC 4202,0.3,,,,,,,,,
KIA DYS (S1),1,BC 4074,0.3,,,,,,,,,
KIA DYS (S1),1,BC 4051,0.3,,,,,,,,,
MERCEDES 134 (S1),1,BC 4002,1.9,,,,,,,,,
MERCEDES 134 (S1),1,BC 4019,29.3,,,,,,,,,
MERCEDES 134 (S1),1,BC 4010,21.5,,,,,,,,,
MERCEDES 134 (S1),1,XB 4091,17.9,,,,,,,,,
MERCEDES 134 (S1),1,BC 4111,14,,,,,,,,,
MERCEDES 134 (S1),1,BC 4518,11.8,,,,,,,,,
MERCEDES 134 (S1),1,BC 4526,3.1,,,,,,,,,
MERCEDES 134 (S1),1,BC 4941,0.3,,,,,,,,,
MERCEDES 134 (S1),1,BC 4202,0.2,,,,,,,,,
MITSUBISHI P17 (S1),1,BC 4002,2.8,,,,,,,,,
MITSUBISHI P17 (S1),1,XB 4581,22.8,,,,,,,,,
MITSUBISHI P17 (S1),1,BC 4082,21.4,,,,,,,,,
MITSUBISHI P17 (S1),1,BC 4188,15.9,,,,,,,,,
MITSUBISHI P17 (S1),1,BC 4084,13.2,,,,,,,,,
MITSUBISHI P17 (S1),1,BC 4582,10.1,,,,,,,,,
MITSUBISHI P17 (S1),1,BC 4985,2.9,,,,,,,,,
MITSUBISHI P17 (S1),1,BC 4202,2.8,,,,,,,,,
MITSUBISHI P17 (S1),1,BC 4010,2.4,,,,,,,,,
MITSUBISHI P17 (S1),1,BC 4110,5.7,,,,,,,,,
MITSUBISHI U04 (S1),1,BC 4002,4.7,,,,,,,,,
MITSUBISHI U04 (S1),1,BC 4517,45.1,,,,,,,,,
MITSUBISHI U04 (S1),1,BC 4018,32.2,,,,,,,,,
