SampleID,Tag_Brand,Tag_Color Code,Tag_Color,Tag_Edition,Bucket,Database,Tag_Coarseness,
RAL 2011 (S1)-LS,RAL,2011,TIEFORANGE,,1,CAMPAIGN MEASUREMENT,NA,
RAL 2012 (S1)-LS,RAL,2012,LACHSORANGE,,1,CAMPAIGN MEASUREMENT,NA,
RAL 3000 (S1)-LS,RAL,2013,FEUERROT,,1,CAMPAIGN MEASUREMENT,NA,
RAL 3001 (S1)-LS,RAL,3001,SIGNALROT,,1,CAMPAIGN MEASUREMENT,NA,
RAL 3002 (S1)-LS,RAL,3002,KARMINROT,,1,CAMPAIGN MEASUREMENT,NA,
RAL 3003 (S1)-LS,RAL,3003,RUBINROT,,1,CAMPAIGN MEASUREMENT,NA,
RAL 3004 (S1)-LS,RAL,3004,PURPURROT,,1,CAMPAIGN MEASUREMENT,NA,
RAL 3005 (S1)-LS,RAL,3005,WEINROT,,1,CAMPAIGN MEASUREMENT,NA,
RAL 3007 (S1)-LS,RAL,3007,SCHWARZROT,,1,CAMPAIGN MEASUREMENT,NA,
RAL 3009 (S1)-LS,RAL,3009,OXIDROT,,1,CAMPAIGN MEASUREMENT,NA,
RAL 3011 (S1)-LS,RAL,3011,BRAUNROT,,1,CAMPAIGN MEASUREMENT,NA,
RAL 3012 (S1)-LS,RAL,3012,BEIGEROT,,1,CAMPAIGN MEASUREMENT,NA,
RAL 3013 (S1)-LS,RAL,3013,TOMATENROT,,1,CAMPAIGN MEASUREMENT,NA,
RAL 3014 (S1)-LS,RAL,3014,ALTROSA,,1,CAMPAIGN MEASUREMENT,NA,
RAL 3015 (S1)-LS,RAL,3015,HELLROSA,,1,CAMPAIGN MEASUREMENT,NA,
RAL 3016 (S1)-LS,RAL,3016,KORALLENROT,,1,CAMPAIGN MEASUREMENT,NA,
RAL 3017 (S1)-LS,RAL,3017,ROSE,,1,CAMPAIGN MEASUREMENT,NA,
RAL 3018 (S1)-LS,RAL,3018,ERDBEERROT,,1,CAMPAIGN MEASUREMENT,NA,
RAL 3020 (S1)-LS,RAL,3020,VERKEHRSROT,,1,CAMPAIGN MEASUREMENT,NA,
RAL 3022 (S1)-LS,RAL,3022,LACHSROT,,1,CAMPAIGN MEASUREMENT,NA,
RAL 3027 (S1)-LS,RAL,3027,HIMBEERROT,,1,CAMPAIGN MEASUREMENT,NA,
RAL 3031 (S1)-LS,RAL,3031,ORIENTROT,,1,CAMPAIGN MEASUREMENT,NA,
RAL 4001 (S1)-LS,RAL,4001,ROTLILA,,1,CAMPAIGN MEASUREMENT,NA,
RAL 4002 (S1)-LS,RAL,4002,ROTVIOLETT,,1,CAMPAIGN MEASUREMENT,NA,
RAL 4003 (S1)-LS,RAL,4003,ERIKAVIOLETT,,1,CAMPAIGN MEASUREMENT,NA,
RAL 4004 (S1)-LS,RAL,4004,BORDEAUXVIOLETT,,1,CAMPAIGN MEASUREMENT,NA,
RAL 4005 (S1)-LS,RAL,4005,BLAULILA,,1,CAMPAIGN MEASUREMENT,NA,
RAL 4006 (S1)-LS,RAL,4006,VERKEHRSPURPUR,,1,CAMPAIGN MEASUREMENT,NA,
RAL 4007 (S1)-LS,RAL,4007,PURPURVIOLETT,,1,CAMPAIGN MEASUREMENT,NA,
RAL 4008 (S1)-LS,RAL,4008,SIGNALVIOLETT,,1,CAMPAIGN MEASUREMENT,NA,
RAL 4009 (S1)-LS,RAL,4009,PASTELLVIOLETT,,1,CAMPAIGN MEASUREMENT,NA,
RAL 4010 (S1)-LS,RAL,4010,MAGENTA,,1,CAMPAIGN MEASUREMENT,NA,
RAL 5000 (S1)-LS,RAL,5000,VIOLETTBLAU,,1,CAMPAIGN MEASUREMENT,NA,
RAL 5001 (S1)-LS,RAL,5001,GRUENBLAU,,1,CAMPAIGN MEASUREMENT,NA,
RAL 5003 (S1)-LS,RAL,5003,SAPHIRBLAU,,1,CAMPAIGN MEASUREMENT,NA,
RAL 5004 (S1)-LS,RAL,5004,SCHWARZBLAU,,1,CAMPAIGN MEASUREMENT,NA,
RAL 5005 (S1)-LS,RAL,5005,SIGNALBLAU,,1,CAMPAIGN MEASUREMENT,NA,
RAL 5007 (S1)-LS,RAL,5007,BRILLANTBLAU,,1,CAMPAIGN MEASUREMENT,NA,
RAL 5008 (S1)-LS,RAL,5008,GRAUBLAU,,1,CAMPAIGN MEASUREMENT,NA,
RAL 5009 (S1)-LS,RAL,5009,AZURBLAU,,1,CAMPAIGN MEASUREMENT,NA,
RAL 5010 (S1)-LS,RAL,5010,ENZIANBLAU,,1,CAMPAIGN MEASUREMENT,NA,
RAL 5011 (S1)-LS,RAL,5011,STAHLBLAU,,1,CAMPAIGN MEASUREMENT,NA,
RAL 5012 (S1)-LS,RAL,5012,LICHTBLAU,,1,CAMPAIGN MEASUREMENT,NA,
RAL 5013 (S1)-LS,RAL,5013,KOBALTBLAU,,1,CAMPAIGN MEASUREMENT,NA,
RAL 5014 (S1)-LS,RAL,5014,TAUBENBLAU,,1,CAMPAIGN MEASUREMENT,NA,
RAL 5015 (S1)-LS,RAL,5015,HIMMELBLAU,,1,CAMPAIGN MEASUREMENT,NA,
RAL 5017 (S1)-LS,RAL,5017,VERKEHRSBLAU,,1,CAMPAIGN MEASUREMENT,NA,
RAL 5018 (S1)-LS,RAL,5018,TUERKISBLAU,,1,CAMPAIGN MEASUREMENT,NA,
RAL 5019 (S1)-LS,RAL,5019,CAPRIBLAU,,1,CAMPAIGN MEASUREMENT,NA,
RAL 5020 (S1)-LS,RAL,5020,OZEANBLAU,,1,CAMPAIGN MEASUREMENT,NA,
RAL 5021 (S1)-LS,RAL,5021,WASSERBLAU,,1,CAMPAIGN MEASUREMENT,NA,
RAL 5022 (S1)-LS,RAL,5022,NACHTBLAU,,1,CAMPAIGN MEASUREMENT,NA,
RAL 5023 (S1)-LS,RAL,5023,FERNBLAU,,1,CAMPAIGN MEASUREMENT,NA,
RAL 5024 (S1)-LS,RAL,5024,PASTELLBLAU,,1,CAMPAIGN MEASUREMENT,NA,
RAL 6000 (S1)-LS,RAL,6000,PATINAGRUEN,,1,CAMPAIGN MEASUREMENT,NA,
RAL 6001 (S1)-LS,RAL,6001,SMARAGDGRUEN,,1,CAMPAIGN MEASUREMENT,NA,
RAL 6002 (S1)-LS,RAL,6002,LAUBGRUEN,,1,CAMPAIGN MEASUREMENT,NA,
RAL 6003 (S1)-LS,RAL,6003,OLIVGRUEN,,1,CAMPAIGN MEASUREMENT,NA,
RAL 6004 (S1)-LS,RAL,6004,BLAUGRUEN,,1,CAMPAIGN MEASUREMENT,NA,
RAL 6005 (S1)-LS,RAL,6005,MOOSGRUEN,,1,CAMPAIGN MEASUREMENT,NA,
RAL 6006 (S1)-LS,RAL,6006,GRAUOLIV,,1,CAMPAIGN MEASUREMENT,NA,
RAL 6007 (S1)-LS,RAL,6007,FLASCHENGRUEN,,1,CAMPAIGN MEASUREMENT,NA,
RAL 6008 (S1)-LS,RAL,6008,BRAUNGRUEN,,1,CAMPAIGN MEASUREMENT,NA,
RAL 6009 (S1)-LS,RAL,6009,TANNENGRUEN,,1,CAMPAIGN MEASUREMENT,NA,
RAL 6010 (S1)-LS,RAL,6010,GRASGRUEN,,1,CAMPAIGN MEASUREMENT,NA,
RAL 6011 (S1)-LS,RAL,6011,RESEDAGRUEN,,1,CAMPAIGN MEASUREMENT,NA,
RAL 6012 (S1)-LS,RAL,6012,SCHWARZGRUEN,,1,CAMPAIGN MEASUREMENT,NA,
RAL 6013 (S1)-LS,RAL,6013,SCHILFGRUEN,,1,CAMPAIGN MEASUREMENT,NA,
RAL 6014 (S1)-LS,RAL,6014,GELBOLIV,,1,CAMPAIGN MEASUREMENT,NA,
RAL 6015 (S1)-LS,RAL,6015,SCHWARZOLIV,,1,CAMPAIGN MEASUREMENT,NA,
RAL 6016 (S1)-LS,RAL,6016,TUERKISGRUEN,,1,CAMPAIGN MEASUREMENT,NA,
RAL 6017 (S1)-LS,RAL,6017,MAIGRUEN,,1,CAMPAIGN MEASUREMENT,NA,
RAL 6018 (S1)-LS,RAL,6018,GELBGRUEN,,1,CAMPAIGN MEASUREMENT,NA,
RAL 6019 (S1)-LS,RAL,6019,WEISSGRUEN,,1,CAMPAIGN MEASUREMENT,NA,
RAL 6020 (S1)-LS,RAL,6020,CHROMOXIDGRUEN,,1,CAMPAIGN MEASUREMENT,NA,
RAL 6021 (S1)-LS,RAL,6021,BLASSGRUEN,,1,CAMPAIGN MEASUREMENT,NA,
RAL 6022 (S1)-LS,RAL,6022,BRAUNOLIV,,1,CAMPAIGN MEASUREMENT,NA,
RAL 6024 (S1)-LS,RAL,6024,VERKEHRSGRUEN,,1,CAMPAIGN MEASUREMENT,NA,
RAL 6025 (S1)-LS,RAL,6025,FARNGRUEN,,1,CAMPAIGN MEASUREMENT,NA,
RAL 6026 (S1)-LS,RAL,6026,OPALGRUEN,,1,CAMPAIGN MEASUREMENT,NA,
RAL 6027 (S1)-LS,RAL,6027,LICHTGRUEN,,1,CAMPAIGN MEASUREMENT,NA,
RAL 6028 (S1)-LS,RAL,6028,KIEFERNGRUEN,,1,CAMPAIGN MEASUREMENT,NA,
RAL 6029 (S1)-LS,RAL,6029,MINZGRUEN,,1,CAMPAIGN MEASUREMENT,NA,
RAL 6032 (S1)-LS,RAL,6032,SIGNALGRUEN,,1,CAMPAIGN MEASUREMENT,NA,
RAL 6033 (S1)-LS,RAL,6033,MINTTUERKIS,,1,CAMPAIGN MEASUREMENT,NA,
RAL 6034 (S1)-LS,RAL,6034,PASTELLTUERKIS,,1,CAMPAIGN MEASUREMENT,NA,
RAL 7000 (S1)-LS,RAL,7000,FEHGRAU,,1,CAMPAIGN MEASUREMENT,NA,
RAL 7001 (S1)-LS,RAL,7001,SILBERGRAU,,1,CAMPAIGN MEASUREMENT,NA,
RAL 7002 (S1)-LS,RAL,7002,OLIVGRAU,,1,CAMPAIGN MEASUREMENT,NA,
