SampleID,Tag_Brand,Tag_Color Code,Tag_Color,Tag_Coarseness
FIAT 291A (S1),FIAT,291A,TURCHESE COLPO DI FULMINE MET,Coarse
FIAT 295A (S1),FIAT,295A,METALLIC PEARL BEIGE MET,Medium
ALFA ROMEO 297A (S1),ALFA ROMEO,297A,BLU AURORA MET,Coarse
FIAT 330A (S1),FIAT,330A,VERDE ARTEMIDE MET,Coarse
ALFA ROMEO 302A (S1),ALFA ROMEO,302A,VERDE ACIDO MICA MET,Medium
FIAT 325A (S1),FIAT,325A,VERDE BREZZA MET,Medium
FIAT 326C (S1),FIAT,326C,BLU DIPINTO DI BLU PERL,Coarse
FIAT 336B (S1),FIAT,336B,AZZURRO FIDATO MET,Medium
FIAT 355A (S1),FIAT,355A,VERDE BELVEDERE MET,Coarse
FIAT 358A (S1),FIAT,358A,VERDE MANAUS MET,Medium
FIAT 359A (S1),FIAT,359A,VERDE LICHENE MET,Medium
FIAT 360B (S1),FIAT,360B,VERDE AVVENTURIERO MET,Medium
FIAT 380B (S1),FIAT,380B,VERDE SCHIETTO MET,Coarse
ALFA ROMEO 400B (S1),ALFA ROMEO,400B,BLU TAORMINA MICA,Coarse
FIAT 416B (S1),FIAT,416B,BLU WAY MET,Coarse
ALFA ROMEO 428B (S1),ALFA ROMEO,428B,BLU COSMO MET,Coarse
FIAT 433 (S1),FIAT,433,BLU STORM MET,Medium
ALFA ROMEO 442A (S1),ALFA ROMEO,442A,BLU METALLICO MET,Medium
LANCIA 445B (S1),LANCIA,445B,AZZURRO ACQUA MET,Medium
FIAT 448B (S1),FIAT,448B,AZZURRO CANALGRANDE MET,Medium
LANCIA 463B (S1),LANCIA,463B,AZZURRO FONTANESI MET,Medium
FIAT 467A (S1),FIAT,467A,AZZURRO RIALTO MET,Medium
CHRYSLER PGW (S1),CHRYSLER,PGW,TIMBERLINE GREEN PEARL,Extra Coarse
CHRYSLER A68 (S1),CHRYSLER,A68,ICE SILVER MET,Medium
CHRYSLER PEM (S1),CHRYSLER,PEM,RED ROCK PEARLCOAT,Coarse
CHRYSLER KDB (S1),CHRYSLER,KDB,CRYSTAL BLUE PEARL,Medium
CHRYSLER FQD (S1),CHRYSLER,FQD,SURF BLUE PEARLCOAT,Medium
CHRYSLER JGT (S1),CHRYSLER,JGT,DEEP FOREST GREEN PEARL,Coarse
CHRYSLER JWD (S1),CHRYSLER,JWD,IVORY PEARL,Medium
CHRYSLER JWD (S2),CHRYSLER,JWD,IVORY PEARL,Medium
CHRYSLER ARH (S2),CHRYSLER,ARH,BLAZE RED CRYSTAL PEARL,Medium
CHRYSLER PB5 (S1),CHRYSLER,PB5,ELECTRIC BLUE PEARL,Medium
CHRYSLER JRY (S1),CHRYSLER,JRY,REDLINE PEARL,Medium
CHRYSLER HWL (S2),CHRYSLER,HWL,WHITE GOLD MET,Medium
CHRYSLER EBD (S2),CHRYSLER,EBD,MARATHON BLUE MET,Medium
CHRYSLER PDA (S2),CHRYSLER,PDA,LIGHT GREYSTONE PEARL MET,Medium
CHRYSLER KAR (S1),CHRYSLER,KAR,MAXIMUM STEEL MET,Extra Coarse
CHRYSLER KCL (S1),CHRYSLER,KCL,BLUE STREAK PEARL,Extra Coarse
