SampleID,Tag_Brand,Tag_Color Code,Tag_Color,Tag_Coarseness,
MAZDA SF (S1)-LS,MAZDA,SF,LAUDER RED,NA,
MAZDA ST (S1)-LS,MAZDA,ST,EARLY TOMATO,NA,
MAZDA NP (S1)-LS,MAZDA,NP,PURE RED,NA,
MAZDA NU (S1)-LS,MAZDA,NU,VINTAGE RED,NA,
MAZDA NT (S1)-LS,MAZDA,NT,VINTAGE RED,NA,
MAZDA S8 (S1)-LS,MAZDA,S8,SUNRISE RED,NA,
MAZDA A4A (S1)-LS,MAZDA,A4A,TRUE RED,NA,
MAZDA A3S (S1)-LS,MAZDA,A3S,SPORTS RED,NA,
MAZDA RZ (S1)-LS,MAZDA,RZ,MILANO RED,NA,
MAZDA A1T (S1)-LS,MAZDA,A1T,NIFTY RED,NA,
MAZDA DB (S1)-LS,MAZDA,DB,HARD BLUE,NA,
MAZDA HM (S1)-LS,MAZDA,HM,BOULOGNE VEIL,NA,
MAZDA HT (S1)-LS,MAZDA,HT,FRENCH GREEN,NA,
MAZDA DT (S1)-LS,MAZDA,DT,CERULEAN BLUE,NA,
MAZDA FZ (S1)-LS,MAZDA,FZ,HERBIE GREEN,NA,
MAZDA FY (S1)-LS,MAZDA,FY,CALM GREEN,NA,
MAZDA TA (S1)-LS,MAZDA,TA,CAMEL YELLOW,NA,
MAZDA VG (S1)-LS,MAZDA,VG,LIGHT BEIGE,NA,
MAZDA TK (S1)-LS,MAZDA,TK,NARCISSE YELLOW,NA,
MAZDA PU (S1)-LS,MAZDA,PU,VENETIAN RED,NA,
MAZDA NK (S1)-LS,MAZDA,NK,ROSS BROWN,NA,
MAZDA 0RA (S1)-LS,MAZDA,0RA,OCEAN DARK BLUE,NA,
MAZDA DU (S1)-LS,MAZDA,DU,MARINA BLUE,NA,
MAZDA DY (S1)-LS,MAZDA,DY,VENETIAN MIST BLUE,NA,
MAZDA HU (S1)-LS,MAZDA,HU,NEO GREEN,NA,
MAZDA SA (S1)-LS,MAZDA,SA,SUNSET WINE,NA,
MAZDA FR (S1)-LS,MAZDA,FR,PINE GREEN,NA,
MAZDA PF (S1)-LS,MAZDA,PF,VIVID CANARY,NA,
MAZDA TC (S1)-LS,MAZDA,TC,ORIENT YELLOW,NA,
MAZDA A1D (S1)-LS,MAZDA,A1D,NEPTUNE BLUE,NA,
MAZDA GV (S1)-LS,MAZDA,GV,MARINE BLUE,NA,
MAZDA FN (S1)-LS,MAZDA,FN,PRAIRIE GREEN,NA,
MAZDA FE (S1)-LS,MAZDA,FE,STELLA GREEN,NA,
MAZDA A3V (S1)-LS,MAZDA,A3V,NEO GREEN,NA,
MAZDA YW (S1)-LS,MAZDA,YW,SPACE YELLOW,NA,
MAZDA HZ (S1)-LS,MAZDA,HZ,SUNBURST YELLOW,NA,
MAZDA D6 (S1)-LS,MAZDA,D6,SCREAMING YELLOW,NA,
SUBARU ZCF (S1)-LS,SUBARU,ZCF,BRIGHT RED 5,NA,
SUBARU 645 (S1)-LS,SUBARU,645,BEIGE,NA,
SUBARU Y28 (S1)-LS,SUBARU,Y28,ANTARES RED,NA,
SUBARU 336 (S1)-LS,SUBARU,336,CARDINAL RED,NA,
SUBARU 057 (S1)-LS,SUBARU,057,CERAMIC WHITE,NA,
SUBARU 982 (S1)-LS,SUBARU,982,ARCTIC WHITE,NA,
SUBARU 477 (S1)-LS,SUBARU,477,CLASSICA GREEN,NA,
SUBARU 53C (S1)-LS,SUBARU,53C,BLUE,NA,
SUBARU 811 (S1)-LS,SUBARU,811,DARK BLUE,NA,
SUBARU 590 (S1)-LS,SUBARU,590,BAY BLUE,NA,
SUBARU 518 (S1)-LS,SUBARU,518,BRIGHT YELLOW,NA,
